timestamp,sender_bic,receiver_bic,amount,currency,msg_type
2025-12-16 05:52:48.337321,BARCGB22XXX,BOFAUS3NXXX,437327.07,JPY,MT103
2025-12-12 16:59:48.337321,BNPAFRPPXXX,BARCGB22XXX,677646.27,JPY,MT103
2025-12-03 19:22:48.337321,BARCGB22XXX,BARCGB22XXX,74723.08,USD,MT103
2025-12-24 19:28:48.337321,CHASUS33XXX,BARCGB22XXX,239830.67,JPY,MT950
2025-12-14 00:35:48.337321,CHASUS33XXX,BOFAUS3NXXX,543483.13,JPY,MT202
2025-12-15 02:28:48.337321,DEUTDEFFXXX,CHASUS33XXX,238297.7,EUR,MT950
2025-12-10 10:03:48.337321,DEUTDEFFXXX,BOFAUS3NXXX,820610.16,USD,MT950
2025-12-07 21:48:48.337321,DEUTDEFFXXX,BARCGB22XXX,682148.58,JPY,MT950
2025-12-17 04:04:48.337321,CHASUS33XXX,BARCGB22XXX,890284.0,USD,MT202
2025-12-19 07:44:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,902787.43,USD,MT950
2025-12-22 17:48:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,814921.99,GBP,MT202
2025-12-17 23:48:48.337321,BARCGB22XXX,BARCGB22XXX,4856.87,GBP,MT202
2026-01-19 16:52:48.337562,BNPAFRPPXXX,CHASUS33XXX,629492.54,GBP,MT202
2025-12-05 09:46:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,425897.04,JPY,MT103
2025-12-05 07:20:48.337321,BNPAFRPPXXX,CHASUS33XXX,720655.97,EUR,MT202
2025-12-27 22:43:48.337321,CHASUS33XXX,BOFAUS3NXXX,902664.28,USD,MT950
2025-12-19 17:34:48.337321,CHASUS33XXX,DEUTDEFFXXX,677882.47,CHF,MT103
2025-12-29 08:16:48.337321,CHASUS33XXX,CHASUS33XXX,729333.13,USD,MT202
2025-12-21 05:19:48.337321,BARCGB22XXX,BNPAFRPPXXX,189957.58,JPY,MT202
2025-12-09 05:57:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,197720.75,USD,MT202
2025-12-03 11:12:48.337321,BARCGB22XXX,BOFAUS3NXXX,461319.37,GBP,MT202
2025-12-18 06:05:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,917616.93,USD,MT103
2025-11-30 00:05:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,804289.45,USD,MT950
2025-12-13 15:18:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,622734.46,JPY,MT202
2025-12-29 01:00:48.337321,DEUTDEFFXXX,BARCGB22XXX,290343.3,USD,MT103
2025-12-23 16:17:48.337321,DEUTDEFFXXX,BOFAUS3NXXX,904433.03,USD,MT202
2025-12-01 02:57:48.337321,BNPAFRPPXXX,BARCGB22XXX,563995.0,JPY,MT103
2025-12-11 19:50:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,328050.31,EUR,MT103
2025-12-14 23:42:48.337321,BARCGB22XXX,CHASUS33XXX,930125.2,JPY,MT202
2025-12-18 11:33:48.337321,DEUTDEFFXXX,BARCGB22XXX,676613.58,EUR,MT103
2025-12-19 04:16:48.337321,CHASUS33XXX,BNPAFRPPXXX,203807.49,JPY,MT950
2025-12-10 19:25:48.337321,CHASUS33XXX,BOFAUS3NXXX,472846.65,JPY,MT103
2025-12-22 09:59:48.337321,DEUTDEFFXXX,BARCGB22XXX,197796.73,EUR,MT103
2025-12-22 09:19:48.337321,CHASUS33XXX,CHASUS33XXX,616665.68,USD,MT202
2025-12-19 16:20:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,499373.06,EUR,MT950
2025-12-14 17:15:48.337321,BARCGB22XXX,BNPAFRPPXXX,849728.79,JPY,MT202
2025-12-25 05:14:48.337321,CHASUS33XXX,DEUTDEFFXXX,635850.26,GBP,MT950
2025-11-30 07:41:48.337321,BARCGB22XXX,CHASUS33XXX,414922.1,JPY,MT103
2025-12-20 11:17:48.337321,CHASUS33XXX,BNPAFRPPXXX,186915.59,EUR,MT103
2025-12-25 23:20:48.337321,CHASUS33XXX,CHASUS33XXX,155071.88,USD,MT950
2025-12-14 19:52:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,445622.11,USD,MT103
2025-12-01 06:09:48.337321,DEUTDEFFXXX,CHASUS33XXX,191434.31,EUR,MT103
2025-12-04 04:31:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,877363.11,JPY,MT103
2025-12-17 17:19:48.337321,BNPAFRPPXXX,BARCGB22XXX,652135.77,USD,MT950
2025-12-03 14:23:48.337321,BARCGB22XXX,BNPAFRPPXXX,52957.33,GBP,MT202
2025-12-11 15:23:48.337321,BARCGB22XXX,BNPAFRPPXXX,382144.57,USD,MT202
2025-12-18 21:29:48.337321,DEUTDEFFXXX,CHASUS33XXX,343960.77,USD,MT202
2025-12-20 17:26:48.337321,DEUTDEFFXXX,BARCGB22XXX,558706.16,GBP,MT950
2025-12-26 18:41:48.337321,DEUTDEFFXXX,BARCGB22XXX,87463.42,USD,MT202
2025-12-27 09:59:48.337321,DEUTDEFFXXX,BARCGB22XXX,886821.04,USD,MT950
2025-12-01 01:49:48.337321,CHASUS33XXX,CHASUS33XXX,557379.81,JPY,MT950
2025-12-15 00:52:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,980626.1,EUR,MT103
2025-12-13 11:11:48.337321,BARCGB22XXX,BARCGB22XXX,338033.72,EUR,MT103
2025-12-21 07:02:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,818574.36,GBP,MT103
2025-12-14 14:58:48.337321,CHASUS33XXX,CHASUS33XXX,382178.87,GBP,MT950
2025-12-09 11:24:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,694532.15,JPY,MT202
2025-12-08 09:33:48.337321,BARCGB22XXX,BOFAUS3NXXX,989151.91,JPY,MT950
2025-12-26 21:08:48.337321,BARCGB22XXX,CHASUS33XXX,766564.33,GBP,MT950
2025-12-06 09:58:48.337321,BARCGB22XXX,BNPAFRPPXXX,3162.04,GBP,MT950
2025-12-09 16:04:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,37553280.5,USD,MT202
2025-12-12 08:24:48.337321,BARCGB22XXX,DEUTDEFFXXX,645298.06,USD,MT950
2025-12-28 04:31:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,548606.08,EUR,MT202
2025-12-25 00:19:48.337321,DEUTDEFFXXX,BARCGB22XXX,238167.21,USD,MT202
2025-12-23 01:01:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,910383.64,JPY,MT202
2025-12-13 00:49:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,223517.08,EUR,MT103
2025-12-23 08:36:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,103417.99,JPY,MT202
2025-12-20 18:04:48.337321,BOFAUS3NXXX,BARCGB22XXX,197240.87,USD,MT202
2025-12-11 01:44:48.337321,CHASUS33XXX,BOFAUS3NXXX,291472.62,GBP,MT103
2025-12-06 18:52:48.337321,BARCGB22XXX,BOFAUS3NXXX,263757.07,USD,MT103
2025-12-15 21:30:48.337321,CHASUS33XXX,CHASUS33XXX,578545.04,EUR,MT202
2025-12-02 02:48:48.337321,CHASUS33XXX,BARCGB22XXX,313845.96,EUR,MT103
2025-12-18 03:15:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,115364.5,JPY,MT202
2025-12-11 03:35:48.337321,BNPAFRPPXXX,DEUTDEFFXXX,203910.45,JPY,MT202
2025-12-06 08:02:48.337321,BNPAFRPPXXX,BARCGB22XXX,535066.2,EUR,MT103
2025-12-14 11:08:48.337321,BNPAFRPPXXX,BARCGB22XXX,84118.23,GBP,MT202
2025-12-19 14:04:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,455555.57,USD,MT950
2025-12-07 21:49:48.337321,BOFAUS3NXXX,CHASUS33XXX,609473.56,USD,MT202
2025-12-26 03:58:48.337321,DEUTDEFFXXX,BARCGB22XXX,975451.12,GBP,MT950
2025-12-14 00:29:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,365043.38,USD,MT950
2025-11-30 07:08:48.337321,BARCGB22XXX,DEUTDEFFXXX,291068.8,GBP,MT103
2025-12-13 02:21:48.337321,CHASUS33XXX,DEUTDEFFXXX,851466.94,USD,MT103
2025-12-02 09:40:48.337321,INVALIDU2ATOP7N,DEUTDEFFXXX,966625.91,GBP,MT103
2025-12-07 17:42:48.337321,CHASUS33XXX,BNPAFRPPXXX,207677.96,JPY,MT202
2025-12-08 00:16:48.337321,DEUTDEFFXXX,BARCGB22XXX,652082.53,EUR,MT202
2025-12-22 19:40:48.337321,INVALIDJ0GKDV87,BNPAFRPPXXX,661773.73,EUR,MT202
2025-12-09 06:19:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,402207.58,EUR,MT202
2025-12-09 08:27:48.337321,DEUTDEFFXXX,CHASUS33XXX,676859.05,USD,MT202
2025-12-25 13:28:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,526449.5,EUR,MT103
2025-12-06 07:08:48.337321,BARCGB22XXX,CHASUS33XXX,813072.75,JPY,MT950
2025-12-21 03:42:48.337321,DEUTDEFFXXX,BOFAUS3NXXX,564208.46,USD,MT103
2025-12-21 01:48:48.337321,DEUTDEFFXXX,CHASUS33XXX,69318.03,GBP,MT202
2025-12-22 16:31:48.337321,DEUTDEFFXXX,BARCGB22XXX,977341.37,EUR,MT103
2025-11-30 22:03:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,420245.71,JPY,MT103
2025-12-17 20:29:48.337321,BARCGB22XXX,CHASUS33XXX,129227.52,EUR,MT950
2025-12-08 09:51:48.337321,BOFAUS3NXXX,CHASUS33XXX,380214.34,EUR,MT202
2025-12-11 09:41:48.337321,BARCGB22XXX,DEUTDEFFXXX,183431.55,JPY,MT202
2025-12-23 20:30:48.337321,BNPAFRPPXXX,CHASUS33XXX,762098.8,JPY,MT950
2025-12-18 22:14:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,454974.29,GBP,MT103
2025-12-20 07:11:48.337321,DEUTDEFFXXX,CHASUS33XXX,542077.95,USD,MT202
2025-12-07 15:59:48.337321,BARCGB22XXX,CHASUS33XXX,524911.72,JPY,MT950
2025-12-28 01:21:48.337321,BNPAFRPPXXX,BARCGB22XXX,917008.6,USD,MT103
2025-12-27 23:28:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,922547.48,JPY,MT103
2025-12-13 09:13:48.337321,CHASUS33XXX,BOFAUS3NXXX,888007.27,USD,MT950
2025-12-14 08:04:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,79053.14,USD,MT202
2025-12-23 01:00:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,338540.56,USD,MT103
2025-12-19 07:31:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,694430.88,USD,MT202
2025-12-08 23:57:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,722894.7,USD,MT950
2025-12-06 14:41:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,519205.88,JPY,MT202
2025-12-10 01:40:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,866897.58,JPY,MT950
2025-12-08 03:43:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,727686.47,USD,MT202
2025-12-10 02:50:48.337321,CHASUS33XXX,CHASUS33XXX,615314.78,EUR,MT103
2025-12-11 20:42:48.337321,BOFAUS3NXXX,CHASUS33XXX,402931.38,EUR,MT950
2025-12-15 23:11:48.337321,BNPAFRPPXXX,BARCGB22XXX,156145.95,EUR,MT950
2025-12-13 15:59:48.337321,CHASUS33XXX,DEUTDEFFXXX,69622.88,EUR,MT202
2025-12-02 19:19:48.337321,BARCGB22XXX,CHASUS33XXX,501056.25,JPY,MT202
2025-12-02 23:06:48.337321,CHASUS33XXX,CHASUS33XXX,8915.42,GBP,MT950
2025-12-14 04:13:48.337321,DEUTDEFFXXX,CHASUS33XXX,316930.52,JPY,MT103
2025-12-14 22:27:48.337321,BARCGB22XXX,BARCGB22XXX,258248.16,JPY,MT103
2025-12-19 23:32:48.337321,CHASUS33XXX,BNPAFRPPXXX,154512.68,JPY,MT103
2025-12-15 11:08:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,396465.21,EUR,MT103
2025-12-08 09:49:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,535311.95,EUR,MT103
2025-12-14 21:57:48.337321,BARCGB22XXX,CHASUS33XXX,389734.65,USD,MT103
2025-12-01 22:28:48.337321,BOFAUS3NXXX,CHASUS33XXX,824987.72,JPY,MT950
2025-12-21 16:47:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,329925.86,GBP,MT950
2025-12-28 10:53:48.337321,DEUTDEFFXXX,BARCGB22XXX,950556.07,GBP,MT103
2025-12-06 13:41:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,38530.19,JPY,MT103
2025-12-19 08:15:48.337321,BARCGB22XXX,BOFAUS3NXXX,968955.48,USD,MT950
2025-12-09 15:48:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,541032.45,EUR,MT202
2025-12-14 14:18:48.337321,DEUTDEFFXXX,BARCGB22XXX,861931.83,EUR,MT202
2025-12-07 00:36:48.337321,CHASUS33XXX,BARCGB22XXX,60517.89,EUR,MT202
2025-12-15 01:22:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,312167.69,USD,MT950
2025-12-07 16:05:48.337321,BARCGB22XXX,DEUTDEFFXXX,322761.11,USD,MT950
2026-01-26 16:52:48.338024,DEUTDEFFXXX,CHASUS33XXX,179460.36,GBP,MT202
2025-12-26 11:27:48.337321,BNPAFRPPXXX,DEUTDEFFXXX,374057.36,GBP,MT103
2025-12-02 16:13:48.337321,BARCGB22XXX,BOFAUS3NXXX,956611.12,GBP,MT103
2025-12-08 06:09:48.337321,DEUTDEFFXXX,BARCGB22XXX,519752.01,JPY,MT950
2025-12-27 18:23:48.337321,BNPAFRPPXXX,DEUTDEFFXXX,674578.71,GBP,MT103
2025-12-07 18:23:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,871819.51,GBP,MT950
2025-12-16 15:48:48.337321,BARCGB22XXX,BARCGB22XXX,594394.47,GBP,MT950
2025-12-20 13:54:48.337321,BARCGB22XXX,BARCGB22XXX,173801.45,GBP,MT950
2025-12-05 23:50:48.337321,BNPAFRPPXXX,DEUTDEFFXXX,669896.25,JPY,MT103
2025-12-19 16:35:48.337321,BARCGB22XXX,BOFAUS3NXXX,769743.17,EUR,MT950
2025-12-18 15:47:48.337321,BNPAFRPPXXX,DEUTDEFFXXX,764746.37,JPY,MT103
2025-12-09 02:53:48.337321,INVALIDBKUXSTIL,DEUTDEFFXXX,9986.73,GBP,MT103
2025-12-08 03:51:48.337321,BARCGB22XXX,CHASUS33XXX,824875.0,USD,MT202
2025-12-05 18:21:48.337321,BOFAUS3NXXX,CHASUS33XXX,220439.63,EUR,MT950
2025-12-11 22:41:48.337321,CHASUS33XXX,CHASUS33XXX,675938.47,JPY,MT202
2025-12-21 20:22:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,732346.99,EUR,MT103
2025-12-15 08:52:48.337321,BARCGB22XXX,BNPAFRPPXXX,285913.88,GBP,MT103
2025-12-07 04:59:48.337321,DEUTDEFFXXX,BOFAUS3NXXX,545952.31,USD,MT103
2025-12-29 05:27:48.337321,BARCGB22XXX,BARCGB22XXX,499225.11,JPY,MT103
2025-12-04 08:52:48.337321,BOFAUS3NXXX,BARCGB22XXX,628810.25,USD,MT950
2025-12-28 20:12:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,738074.09,GBP,MT103
2025-12-18 22:09:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,628792.83,JPY,MT950
2025-12-06 20:04:48.337321,CHASUS33XXX,CHASUS33XXX,714953.53,JPY,MT103
2025-12-04 10:09:48.337321,BNPAFRPPXXX,CHASUS33XXX,492237.41,EUR,MT202
2025-12-04 12:09:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,658602.71,EUR,MT202
2025-11-30 18:58:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,159363.63,GBP,MT103
2025-12-27 23:41:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,235156.16,USD,MT103
2025-12-08 12:41:48.337321,DEUTDEFFXXX,BARCGB22XXX,432891.69,GBP,MT950
2025-12-26 04:49:48.337321,BNPAFRPPXXX,BARCGB22XXX,546312.43,EUR,MT103
2025-12-21 12:21:48.337321,DEUTDEFFXXX,DEUTDEFFXXX,12177.4,EUR,MT103
2025-12-21 13:05:48.337321,CHASUS33XXX,CHASUS33XXX,838848.23,JPY,MT950
2025-12-14 05:36:48.337321,CHASUS33XXX,CHASUS33XXX,749330.29,USD,MT103
2025-12-16 12:34:48.337321,BOFAUS3NXXX,BARCGB22XXX,747493.04,GBP,MT103
2025-12-04 16:36:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,968401.34,JPY,MT950
2025-12-08 18:39:48.337321,BNPAFRPPXXX,BARCGB22XXX,749497.31,GBP,MT103
2025-12-20 01:28:48.337321,BARCGB22XXX,BOFAUS3NXXX,225908.88,GBP,MT202
2025-12-22 02:31:48.337321,CHASUS33XXX,CHASUS33XXX,759692.63,JPY,MT202
2025-12-08 12:57:48.337321,BARCGB22XXX,BOFAUS3NXXX,496673.96,EUR,MT103
2025-12-23 06:23:48.337321,BNPAFRPPXXX,CHASUS33XXX,544635.91,JPY,MT950
2025-12-14 01:54:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,15087.42,USD,MT103
2025-12-08 16:11:48.337321,DEUTDEFFXXX,BOFAUS3NXXX,400045.29,GBP,MT950
2025-12-04 10:23:48.337321,BARCGB22XXX,CHASUS33XXX,920928.14,JPY,MT950
2025-11-29 20:47:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,61514.26,EUR,MT202
2025-12-16 20:47:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,362829.42,JPY,MT950
2025-12-01 11:47:48.337321,BARCGB22XXX,CHASUS33XXX,231423.36,USD,MT103
2025-12-09 23:47:48.337321,BOFAUS3NXXX,BARCGB22XXX,257756.4,JPY,MT202
2025-12-01 06:23:48.337321,CHASUS33XXX,DEUTDEFFXXX,6086.38,JPY,MT103
2025-12-04 23:05:48.337321,BARCGB22XXX,BARCGB22XXX,311932.33,GBP,MT103
2025-12-04 06:19:48.337321,CHASUS33XXX,DEUTDEFFXXX,850440.67,GBP,MT103
2025-12-04 12:17:48.337321,BOFAUS3NXXX,CHASUS33XXX,759527.21,EUR,MT103
2025-12-10 06:44:48.337321,BNPAFRPPXXX,CHASUS33XXX,341126.27,USD,MT950
2025-11-30 08:14:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,3090.1,USD,MT202
2025-12-21 04:15:48.337321,DEUTDEFFXXX,CHASUS33XXX,145440.19,USD,MT202
2025-12-06 10:48:48.337321,DEUTDEFFXXX,CHASUS33XXX,359741.04,USD,MT950
2025-12-04 16:42:48.337321,BOFAUS3NXXX,CHASUS33XXX,85062.4,JPY,MT103
2025-12-18 17:07:48.337321,CHASUS33XXX,BARCGB22XXX,158500.37,JPY,MT103
2025-11-29 18:25:48.337321,BNPAFRPPXXX,CHASUS33XXX,832646.39,USD,MT950
2025-12-19 08:42:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,539037.25,GBP,MT950
2025-12-05 00:13:48.337321,CHASUS33XXX,BARCGB22XXX,536012.11,GBP,MT103
2025-12-12 12:50:48.337321,BARCGB22XXX,BARCGB22XXX,578745.41,EUR,MT950
2025-12-05 07:57:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,21315.35,USD,MT103
2025-12-26 18:18:48.337321,BNPAFRPPXXX,BARCGB22XXX,936790.35,JPY,MT950
2025-12-14 13:00:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,616969.96,JPY,MT950
2025-12-12 11:19:48.337321,CHASUS33XXX,BNPAFRPPXXX,367201.22,GBP,MT950
2025-11-30 17:40:48.337321,BARCGB22XXX,BOFAUS3NXXX,149411.02,GBP,MT103
2025-12-24 15:01:48.337321,BOFAUS3NXXX,CHASUS33XXX,225409.12,GBP,MT202
2025-12-29 11:55:48.337321,CHASUS33XXX,BARCGB22XXX,81595.02,USD,MT202
2025-12-06 20:25:48.337321,DEUTDEFFXXX,BARCGB22XXX,314129.58,JPY,MT950
2025-11-29 17:52:48.337321,BNPAFRPPXXX,BOFAUS3NXXX,819357.0,JPY,MT202
2025-12-22 22:43:48.337321,CHASUS33XXX,BNPAFRPPXXX,971448.88,EUR,MT202
2025-12-11 22:53:48.337321,BARCGB22XXX,BARCGB22XXX,317991.47,EUR,MT103
2025-12-10 17:59:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,447441.14,GBP,MT202
2025-12-17 12:36:48.337321,BNPAFRPPXXX,BARCGB22XXX,692646.16,GBP,MT950
2025-12-07 06:14:48.337321,DEUTDEFFXXX,BOFAUS3NXXX,284513.41,JPY,MT950
2025-12-29 00:02:48.337321,BOFAUS3NXXX,CHASUS33XXX,472998.89,GBP,MT950
2025-12-08 03:29:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,496159.47,USD,MT103
2025-12-27 17:15:48.337321,DEUTDEFFXXX,BARCGB22XXX,350740.27,USD,MT202
2025-12-24 08:45:48.337321,DEUTDEFFXXX,BARCGB22XXX,144749.92,USD,MT950
2025-12-21 04:59:48.337321,DEUTDEFFXXX,BARCGB22XXX,708129.08,USD,MT202
2025-12-09 23:06:48.337321,BOFAUS3NXXX,CHASUS33XXX,844552.82,EUR,MT103
2025-12-27 14:13:48.337321,CHASUS33XXX,DEUTDEFFXXX,413601.37,USD,MT202
2025-11-30 16:04:48.337321,INVALIDOBSO37VZ,BOFAUS3NXXX,396321.92,GBP,MT103
2025-12-08 03:58:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,396210.22,JPY,MT202
2025-12-21 00:54:48.337321,CHASUS33XXX,CHASUS33XXX,996921.33,USD,MT202
2025-11-30 14:24:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,330599.21,JPY,MT202
2025-12-27 11:57:48.337321,BARCGB22XXX,DEUTDEFFXXX,678291.63,USD,MT202
2025-12-19 21:56:48.337321,BARCGB22XXX,CHASUS33XXX,374714.34,GBP,MT202
2025-12-02 04:15:48.337321,BARCGB22XXX,BOFAUS3NXXX,11832.98,USD,MT202
2025-12-18 10:56:48.337321,BNPAFRPPXXX,BARCGB22XXX,205640.87,GBP,MT103
2025-12-01 18:06:48.337321,CHASUS33XXX,BNPAFRPPXXX,370355.3,EUR,MT950
2025-12-04 09:58:48.337321,CHASUS33XXX,BARCGB22XXX,690080.28,GBP,MT950
2025-12-16 21:00:48.337321,BNPAFRPPXXX,CHASUS33XXX,581803.52,GBP,MT103
2025-12-06 21:49:48.337321,BOFAUS3NXXX,CHASUS33XXX,962622.3,GBP,MT103
2025-12-15 05:14:48.337321,BNPAFRPPXXX,BARCGB22XXX,59935.06,JPY,MT202
2025-12-08 11:08:48.337321,BOFAUS3NXXX,DEUTDEFFXXX,91369.15,JPY,MT202
2025-12-14 17:41:48.337321,BARCGB22XXX,BNPAFRPPXXX,826465.49,JPY,MT103
2025-11-30 23:03:48.337321,CHASUS33XXX,BNPAFRPPXXX,308985.12,JPY,MT202
2025-12-24 14:08:48.337321,BOFAUS3NXXX,BOFAUS3NXXX,9899.35,JPY,MT202
2025-12-27 20:24:48.337321,BARCGB22XXX,BOFAUS3NXXX,435544.7,USD,MT202
2025-12-19 11:00:48.337321,CHASUS33XXX,CHASUS33XXX,345039.53,JPY,MT103
